Name;Birthday;Citizenship;Weight;Height;Link;Site
Роберт Уиттакер;20 декабря 1990;Австралия;84;182;https://www.sports.ru/robert-whittaker/;https://www.sports.ru
Умар Нурмагомедов;3 января 1996;Россия;61;173;https://www.sports.ru/umar-nurmagomedov/;https://www.sports.ru
Сергей Павлович;13 мая 1992;Россия;97;191;https://www.sports.ru/sergey-pavlovich/;https://www.sports.ru
Олег Тактаров;26 августа 1967;Россия;94;183;https://www.sports.ru/oleg-taktarov/;https://www.sports.ru
Бадр Хари;8 декабря 1984;Нидерланды Марокко;102;197;https://www.sports.ru/badr-hari/;https://www.sports.ru
Йоэль Ромеро;30 апреля 1977;Куба;84;183;https://www.sports.ru/yoel-romero/;https://www.sports.ru
Джервонта Дэвис;7 ноября 1994;США;59;166;https://www.sports.ru/gervonta-davis/;https://www.sports.ru
Дональд Серроне;29 марта 1983;США;70;183;https://www.sports.ru/donald-cerrone/;https://www.sports.ru
Наталья Рагозина;5 апреля 1976;Россия;;181;https://www.sports.ru/natalia-ragozina/;https://www.sports.ru
Дэвид Хэй;13 октября 1980;Англия;;191;https://www.sports.ru/david-haye/;https://www.sports.ru
Бернард Хопкинс;15 января 1965;США;;186;https://www.sports.ru/bernard-hopkins/;https://www.sports.ru
Фабрисио Вердум;30 июля 1977;Бразилия;104;193;https://www.sports.ru/fabricio-werdum/;https://www.sports.ru
Дмитрий Пирог;27 июня 1980;Россия;;180;https://www.sports.ru/dmitry-pirog/;https://www.sports.ru
Сирил Ган;6 мая 1990;Франция;120;195;https://www.sports.ru/ciryl-gane/;https://www.sports.ru
Тимофей Цзю;2 ноября 1994;Австралия;69;174;https://www.sports.ru/tim-tszyu/;https://www.sports.ru
Деррик Льюис;7 февраля 1985;США;118;190;https://www.sports.ru/derrick-lewis/;https://www.sports.ru
Аманда Нуньес;30 мая 1988;Бразилия;61;172;https://www.sports.ru/amanda-nunes/;https://www.sports.ru
Пейдж ВанЗант;26 марта 1994;США;52;162;https://www.sports.ru/paige-vanzant/;https://www.sports.ru
Мовсар Евлоев;11 февраля 1994;Россия;66;170;https://www.sports.ru/movsar-evloev/;https://www.sports.ru
Александр Гвоздик;15 апреля 1987;Украина;;190;https://www.sports.ru/oleksandr-gvozdyk/;https://www.sports.ru
Алекс Волкановски;29 сентября 1988;Австралия;66;168;https://www.sports.ru/alexander-volkanovski/;https://www.sports.ru
Вячеслав Дацик;13 февраля 1980;Россия;103;185;https://www.sports.ru/viacheslav-datsik/;https://www.sports.ru
Довлетджан Ягшимурадов;22 мая 1989;Туркменистан;93;180;https://www.sports.ru/dovletdzhan-yagshimuradov/;https://www.sports.ru
Никита Крылов;7 марта 1992;Украина;92;190;https://www.sports.ru/nikita-krylov/;https://www.sports.ru
Махмуд Мурадов;8 февраля 1990;Узбекистан;84;188;https://www.sports.ru/makhmud-muradov/;https://www.sports.ru
Алджамейн Стерлинг;31 июля 1989;США Ямайка;61;170;https://www.sports.ru/aljamain-sterling/;https://www.sports.ru
Расул Мирзаев;30 марта 1986;Россия;65;170;https://www.sports.ru/rasul-mirzaev/;https://www.sports.ru
Ян Блахович;24 февраля 1983;Польша;93;188;https://www.sports.ru/jan-blachowicz/;https://www.sports.ru
Теренс Кроуфорд;28 сентября 1987;США;61 кг;173;https://www.sports.ru/terence-crawford/;https://www.sports.ru
Усман Нурмагомедов;17 июля 1998;Россия;65.77 кг;;https://www.sports.ru/osman-nurmagomedov/;https://www.sports.ru
Марк Хант;23 марта 1974;Новая Зеландия;125;178;https://www.sports.ru/tags/5722117/;https://www.sports.ru
Бен Аскрен;18 июля 1984;;77 кг;177 см;https://www.sports.ru/ben-askren/;https://www.sports.ru
Артур Абрахам;20 февраля 1980;Армения Германия;;178;https://www.sports.ru/arthur-abraham/;https://www.sports.ru
Пауло Коста;21 апреля 1991;Бразилия;84;185;https://www.sports.ru/paulo-costa/;https://www.sports.ru
Энтони Джонсон;6 марта 1984;США;93;187;https://www.sports.ru/anthony-johnson/;https://www.sports.ru
Рафаэль Физиев;5 марта 1993;Азербайджан Кыргызстан;70;173;https://www.sports.ru/rafael-fiziev/;https://www.sports.ru
Дмитрий Кудряшов;26 октября 1985;Россия;;189;https://www.sports.ru/dmitry-kudryashov/;https://www.sports.ru
Рахим Чахкиев;11 января 1983;Россия;;183;https://www.sports.ru/tags/3596560/;https://www.sports.ru
Саид Нурмагомедов;5 апреля 1992;Россия;61;173;https://www.sports.ru/said-nurmagomedov/;https://www.sports.ru
Йоанна Енджейчик;18 августа 1987;Польша;52;167;https://www.sports.ru/joanna-jedrzejczyk/;https://www.sports.ru
Рафаэль Дос Аньос;26 октября 1984;Бразилия;70;175;https://www.sports.ru/rafael-dos-anjos/;https://www.sports.ru
Денис Бойцов;14 февраля 1986;Россия;;185;https://www.sports.ru/denis-boytsov/;https://www.sports.ru
Моргенштерн;17 февраля 1998;Россия;73;185;https://www.sports.ru/morgenshtern/;https://www.sports.ru
Эдсон Барбоза;21 января 1986;Бразилия;70;180;https://www.sports.ru/edson-barboza/;https://www.sports.ru
Робби Лоулер;20 марта 1982;США;71;180;https://www.sports.ru/robert-lawler/;https://www.sports.ru
Витор Белфорт;1 апреля 1977;Бразилия;84;183;https://www.sports.ru/vitor-belfort/;https://www.sports.ru
Маирбек Тайсумов;8 августа 1988;Россия;70;175;https://www.sports.ru/tags/146909748/;https://www.sports.ru
Антонио Бигфут Сильва;14 сентября 1979;Бразилия;120;193;https://www.sports.ru/antonio-silva/;https://www.sports.ru
Ярослав Амосов;9 сентября 1993;Украина;77;183;https://www.sports.ru/yaroslav-amosov/;https://www.sports.ru
Миша Тейт;18 августа 1986;США;61;167;https://www.sports.ru/miesha-tate/;https://www.sports.ru
Лиото Мачида;30 мая 1978;Бразилия;93;185;https://www.sports.ru/lyoto-machida/;https://www.sports.ru
Брайан Ортега;21 февраля 1991;США;66;173;https://www.sports.ru/brian-ortega/;https://www.sports.ru
Маурисио Руа;25 ноября 1981;Бразилия;93;185;https://www.sports.ru/mauricio-rua/;https://www.sports.ru
Доминик Круз;3 сентября 1985;США;61;173;https://www.sports.ru/dominick-cruz/;https://www.sports.ru
Фрэнки Эдгар;16 октября 1981;США;66;168;https://www.sports.ru/frankie-edgar/;https://www.sports.ru
Би Джей Пенн;13 декабря 1978;США;70;175;https://www.sports.ru/tags/5438470/;https://www.sports.ru
Мигель Анхель Котто;29 октября 1980;Пуэрто-Рико;;175;https://www.sports.ru/miguel-angel-cotto/;https://www.sports.ru
Кевин Ли;4 сентября 1992;США;70;175;https://www.sports.ru/kevin-lee/;https://www.sports.ru
Люк Рокхолд;17 октября 1984;США;83;190;https://www.sports.ru/luke-rockhold/;https://www.sports.ru
Федор Чудинов;15 сентября 1987;Россия;;178;https://www.sports.ru/fedor-chudinov/;https://www.sports.ru
Каролина Ковалькевич;15 октября 1985;Польша;52;160;https://www.sports.ru/tags/161050024/;https://www.sports.ru
Бату Хасиков;;;;;https://www.sports.ru/batu-khasikov/;https://www.sports.ru
Антвун Эхолс;;США;;;https://www.sports.ru/tags/7312313/;https://www.sports.ru
Майкл Биспинг;28 февраля 1979;Великобритания;83;185;https://www.sports.ru/michael-bisping/;https://www.sports.ru
Иван Штырков;6 сентября 1988;Россия;;182;https://www.sports.ru/ivan-shtyrkov/;https://www.sports.ru
Жалгас Жумагулов;29 августа 1988;Казахстан;56;165;https://www.sports.ru/zhalgas-zhumagulov/;https://www.sports.ru
Теофимо Лопес;30 июля 1997;США;61;173;https://www.sports.ru/teofimo-lopez/;https://www.sports.ru
Роналдо Соуза;7 декабря 1979;Бразилия;84;193;https://www.sports.ru/ronaldo-souza/;https://www.sports.ru
Магомед Бибулатов;22 августа 1988;Россия;56;165;https://www.sports.ru/tags/161068755/;https://www.sports.ru
Чейл Соннен;3 апреля 1977;США;90;185;https://www.sports.ru/chael-sonnen/;https://www.sports.ru
Вандерлей Силва;3 июля 1976;Бразилия;93;180;https://www.sports.ru/tags/6154721/;https://www.sports.ru
"Мохаммед Хейбати ""Персидский Дагестанец""";12 августа 1995;Иран;70;170;https://www.sports.ru/mohammad-heibati/;https://www.sports.ru
Майкл Пейдж;7 апреля 1987;Великобритания;82;191;https://www.sports.ru/michael-page/;https://www.sports.ru
Александр Сарнавский;17 января 1989;Россия;70 кг;180 см;https://www.sports.ru/alexander-sarnavskiy/;https://www.sports.ru
Иржи Прохазка;14 октября 1992;Чехия;93;193;https://www.sports.ru/jiri-prochazka/;https://www.sports.ru
Дамир Исмагулов;3 февраля 1991;Казахстан Россия;70;178;https://www.sports.ru/damir-ismagulov/;https://www.sports.ru
Антонина Шевченко;20 ноября 1984;Кыргызстан;;;https://www.sports.ru/tags/161076443/;https://www.sports.ru
Райан Бейдер;7 июня 1983;США;95;188;https://www.sports.ru/ryan-bader/;https://www.sports.ru
Эдди Альварес;11 января 1984;США;70 кг;178 см;https://www.sports.ru/eddie-alvarez/;https://www.sports.ru
Чак Лидделл;17 декабря 1969;США;93;188;https://www.sports.ru/tags/5653162/;https://www.sports.ru
Пэдди Пимблетт;1 марта 1995;Англия;68;177;https://www.sports.ru/paddy-pimblett/;https://www.sports.ru
Логан Пол;1 апреля 1995;США;;188;https://www.sports.ru/logan-paul/;https://www.sports.ru
Кертис Блейдс;18 февраля 1991;;118;193;https://www.sports.ru/curtis-blaydes/;https://www.sports.ru
Маирис Бриедис;13 января 1985;Латвия;;;https://www.sports.ru/tags/161029841/;https://www.sports.ru
Сергей Бадюк;3 июля 1970;Россия;;;https://www.sports.ru/tags/161009939/;https://www.sports.ru
Джейк Пол;17 января 1997;США;;185;https://www.sports.ru/jake-paul/;https://www.sports.ru
Шахрам Гиясов;7 июля 1993;Узбекистан;;174;https://www.sports.ru/tags/161051436/;https://www.sports.ru
Мариф Пираев;3 января 1993;Россия;70;175;https://www.sports.ru/marif-piraev/;https://www.sports.ru
Джеральд Макклеллан;23 октября 1967;США;72;183;https://www.sports.ru/tags/69269308/;https://www.sports.ru
Крис Сайборг;9 июля 1985;Бразилия;65;172;https://www.sports.ru/cristiane-justino/;https://www.sports.ru
Муратбек Касымбай;;Казахстан;65 кг;170 см;https://www.sports.ru/tags/161116130/;https://www.sports.ru
Брэндон Морено;7 декабря 1993;Мексика;57;170;https://www.sports.ru/brandon-moreno/;https://www.sports.ru
Эл Яквинта;30 апреля 1987;США;70;170;https://www.sports.ru/tags/161076871/;https://www.sports.ru
Адлан Амагов;30 октября 1986;Россия;77;187;https://www.sports.ru/tags/102375752/;https://www.sports.ru
Эвандер Холифилд;19 октября 1962;США;;188;https://www.sports.ru/evander-holyfield/;https://www.sports.ru
Лиана Джоджуа;22 марта 1995;Грузия Россия;61;162;https://www.sports.ru/tags/161094876/;https://www.sports.ru
Энтони Смит;26 июля 1988;США;84;193;https://www.sports.ru/anthony-smit/;https://www.sports.ru
Гловер Тейшейра;28 октября 1979;Бразилия;93;188;https://www.sports.ru/glover-teixeira/;https://www.sports.ru
Рой Нельсон;20 июня 1976;США;113;183;https://www.sports.ru/tags/69912778/;https://www.sports.ru
Жанибек Алимханулы;1 апреля 1993;Казахстан;;182 см;https://www.sports.ru/tags/161116118/;https://www.sports.ru
Омари Ахмедов;12 октября 1987;Россия;;;https://www.sports.ru/omari-akhmedov/;https://www.sports.ru
Мэтт Митрион;15 июля 1978;США;115;190;https://www.sports.ru/tags/68880012/;https://www.sports.ru
Джош Барнетт;10 ноября 1977;США;113;192;https://www.sports.ru/tags/5423910/;https://www.sports.ru
Куат Хамитов;22 февраля 1988;Казахстан;70;172;https://www.sports.ru/tags/161107426/;https://www.sports.ru
Валентин Молдавский;6 февраля 1992;Россия Украина;107;185;https://www.sports.ru/valentin-moldavsky/;https://www.sports.ru
Яир Родригес;6 октября 1992;Мексика;66;180;https://www.sports.ru/rodrigues-yair/;https://www.sports.ru
Эдуард Вартанян;;Россия;70;177;https://www.sports.ru/eduard-vartanyan/;https://www.sports.ru
Александр Яковлев;18 июля 1984;Россия;77;186;https://www.sports.ru/tags/138594277/;https://www.sports.ru
Фрэнк Мир;24 мая 1979;США;115;190;https://www.sports.ru/tags/6154705/;https://www.sports.ru
Дейвисон Фигейредо;18 декабря 1987;Бразилия;56;165;https://www.sports.ru/deiveson-figueiredo/;https://www.sports.ru
Эррол Спенс;3 марта 1990;США;69;177;https://www.sports.ru/errol-spence/;https://www.sports.ru
Миша Алоян;23 августа 1988;Россия;;165;https://www.sports.ru/tags/6359131/;https://www.sports.ru
Вик Дарчинян;7 января 1976;Австралия Армения;;166;https://www.sports.ru/tags/1046174/;https://www.sports.ru
Бенсон Хендерсон;16 ноября 1983;США;70;175;https://www.sports.ru/benson-henderson/;https://www.sports.ru
Мария Агапова;7 апреля 1997;Казахстан;;168 см;https://www.sports.ru/tags/161116127/;https://www.sports.ru
Чоршанбе Чоршанбиев;15 мая 1995;Таджикистан;82;178;https://www.sports.ru/chorshanbe-chorshanbiev/;https://www.sports.ru
Роман Копылов;4 мая 1991;Россия;84;183;https://www.sports.ru/roman-kopylov/;https://www.sports.ru
Данияр Елеусинов;13 марта 1991;Казахстан;;178;https://www.sports.ru/tags/161051512/;https://www.sports.ru
Диллиан Уайт;11 апреля 1988;Великобритания;;;https://www.sports.ru/dillian-whyte/;https://www.sports.ru
Рори Макдональд;22 июля 1989;Канада;77;183;https://www.sports.ru/rory-macdonald/;https://www.sports.ru
Хуан Мануэль Маркес;23 августа 1973;Мексика;61;170;https://www.sports.ru/tags/1047337/;https://www.sports.ru
Эрик Моралес;1 сентября 1976;Мексика;;177;https://www.sports.ru/tags/1046104/;https://www.sports.ru
Зелемхан «Пулеметчик» Дукаев;;Россия;80;177;https://www.sports.ru/zelemhan-pulemetchik-dukaev/;https://www.sports.ru
Джабар Аскеров;24 января 1986;Россия;70 кг;171 см;https://www.sports.ru/tags/152759324/;https://www.sports.ru
Майкл Кьеза;7 декабря 1987;США;;185;https://www.sports.ru/michael-chiesa/;https://www.sports.ru
Григорий Дрозд;26 августа 1979;Россия;;186;https://www.sports.ru/grigoriy-drozd/;https://www.sports.ru
Руслан Чагаев;19 октября 1978;Узбекистан;;185;https://www.sports.ru/tags/1045305/;https://www.sports.ru
