Name;Birthday;Citizenship;Weight;Height;Link
Наталья Рагозина;5 апреля 1976;Россия;;181;https://www.sports.ru/natalia-ragozina/
Дэвид Хэй;13 октября 1980;Англия;;191;https://www.sports.ru/david-haye/
Бернард Хопкинс;15 января 1965;США;;186;https://www.sports.ru/bernard-hopkins/
Дмитрий Пирог;27 июня 1980;Россия;;180;https://www.sports.ru/dmitry-pirog/
Фабрисио Вердум;30 июля 1977;Бразилия;104;193;https://www.sports.ru/fabricio-werdum/
Сирил Ган;6 мая 1990;Франция;120;195;https://www.sports.ru/ciryl-gane/
Тимофей Цзю;2 ноября 1994;Австралия;69;174;https://www.sports.ru/tim-tszyu/
Деррик Льюис;7 февраля 1985;США;118;190;https://www.sports.ru/derrick-lewis/
Аманда Нуньес;30 мая 1988;Бразилия;61;172;https://www.sports.ru/amanda-nunes/
Пейдж ВанЗант;26 марта 1994;США;52;162;https://www.sports.ru/paige-vanzant/
Александр Гвоздик;15 апреля 1987;Украина;;190;https://www.sports.ru/oleksandr-gvozdyk/
Мовсар Евлоев;11 февраля 1994;Россия;66;170;https://www.sports.ru/movsar-evloev/
Алекс Волкановски;29 сентября 1988;Австралия;66;168;https://www.sports.ru/alexander-volkanovski/
Вячеслав Дацик;13 февраля 1980;Россия;103;185;https://www.sports.ru/viacheslav-datsik/
Довлетджан Ягшимурадов;22 мая 1989;Туркменистан;93;180;https://www.sports.ru/dovletdzhan-yagshimuradov/
Никита Крылов;7 марта 1992;Украина;92;190;https://www.sports.ru/nikita-krylov/
Махмуд Мурадов;8 февраля 1990;Узбекистан;84;188;https://www.sports.ru/makhmud-muradov/
Алджамейн Стерлинг;31 июля 1989;США Ямайка;61;170;https://www.sports.ru/aljamain-sterling/
Расул Мирзаев;30 марта 1986;Россия;65;170;https://www.sports.ru/rasul-mirzaev/
Ян Блахович;24 февраля 1983;Польша;93;188;https://www.sports.ru/jan-blachowicz/
Теренс Кроуфорд;28 сентября 1987;США;61 кг;173;https://www.sports.ru/terence-crawford/
Усман Нурмагомедов;17 июля 1998;Россия;65.77 кг;;https://www.sports.ru/osman-nurmagomedov/
Марк Хант;23 марта 1974;Новая Зеландия;125;178;https://www.sports.ru/tags/5722117/
Бен Аскрен;18 июля 1984;;77 кг;177 см;https://www.sports.ru/ben-askren/
Артур Абрахам;20 февраля 1980;Армения Германия;;178;https://www.sports.ru/arthur-abraham/
Пауло Коста;21 апреля 1991;Бразилия;84;185;https://www.sports.ru/paulo-costa/
Энтони Джонсон;6 марта 1984;США;93;187;https://www.sports.ru/anthony-johnson/
Рафаэль Физиев;5 марта 1993;Азербайджан Кыргызстан;70;173;https://www.sports.ru/rafael-fiziev/
Дмитрий Кудряшов;26 октября 1985;Россия;;189;https://www.sports.ru/dmitry-kudryashov/
Рахим Чахкиев;11 января 1983;Россия;;183;https://www.sports.ru/tags/3596560/
Саид Нурмагомедов;5 апреля 1992;Россия;61;173;https://www.sports.ru/said-nurmagomedov/
Йоанна Енджейчик;18 августа 1987;Польша;52;167;https://www.sports.ru/joanna-jedrzejczyk/
Рафаэль Дос Аньос;26 октября 1984;Бразилия;70;175;https://www.sports.ru/rafael-dos-anjos/
Денис Бойцов;14 февраля 1986;Россия;;185;https://www.sports.ru/denis-boytsov/
Моргенштерн;17 февраля 1998;Россия;73;185;https://www.sports.ru/morgenshtern/
Эдсон Барбоза;21 января 1986;Бразилия;70;180;https://www.sports.ru/edson-barboza/
Робби Лоулер;20 марта 1982;США;71;180;https://www.sports.ru/robert-lawler/
Витор Белфорт;1 апреля 1977;Бразилия;84;183;https://www.sports.ru/vitor-belfort/
Маирбек Тайсумов;8 августа 1988;Россия;70;175;https://www.sports.ru/tags/146909748/
Антонио Бигфут Сильва;14 сентября 1979;Бразилия;120;193;https://www.sports.ru/antonio-silva/
Ярослав Амосов;9 сентября 1993;Украина;77;183;https://www.sports.ru/yaroslav-amosov/
Миша Тейт;18 августа 1986;США;61;167;https://www.sports.ru/miesha-tate/
Лиото Мачида;30 мая 1978;Бразилия;93;185;https://www.sports.ru/lyoto-machida/
Брайан Ортега;21 февраля 1991;США;66;173;https://www.sports.ru/brian-ortega/
Маурисио Руа;25 ноября 1981;Бразилия;93;185;https://www.sports.ru/mauricio-rua/
Би Джей Пенн;13 декабря 1978;США;70;175;https://www.sports.ru/tags/5438470/
Мигель Анхель Котто;29 октября 1980;Пуэрто-Рико;;175;https://www.sports.ru/miguel-angel-cotto/
Доминик Круз;3 сентября 1985;США;61;173;https://www.sports.ru/dominick-cruz/
Фрэнки Эдгар;16 октября 1981;США;66;168;https://www.sports.ru/frankie-edgar/
Кевин Ли;4 сентября 1992;США;70;175;https://www.sports.ru/kevin-lee/
Люк Рокхолд;17 октября 1984;США;83;190;https://www.sports.ru/luke-rockhold/
Федор Чудинов;15 сентября 1987;Россия;;178;https://www.sports.ru/fedor-chudinov/
Каролина Ковалькевич;15 октября 1985;Польша;52;160;https://www.sports.ru/tags/161050024/
Бату Хасиков;;;;;https://www.sports.ru/batu-khasikov/
Антвун Эхолс;;США;;;https://www.sports.ru/tags/7312313/
Майкл Биспинг;28 февраля 1979;Великобритания;83;185;https://www.sports.ru/michael-bisping/
Иван Штырков;6 сентября 1988;Россия;;182;https://www.sports.ru/ivan-shtyrkov/
Жалгас Жумагулов;29 августа 1988;Казахстан;56;165;https://www.sports.ru/zhalgas-zhumagulov/
Теофимо Лопес;30 июля 1997;США;61;173;https://www.sports.ru/teofimo-lopez/
Роналдо Соуза;7 декабря 1979;Бразилия;84;193;https://www.sports.ru/ronaldo-souza/
Магомед Бибулатов;22 августа 1988;Россия;56;165;https://www.sports.ru/tags/161068755/
Чейл Соннен;3 апреля 1977;США;90;185;https://www.sports.ru/chael-sonnen/
Вандерлей Силва;3 июля 1976;Бразилия;93;180;https://www.sports.ru/tags/6154721/
"Мохаммед Хейбати ""Персидский Дагестанец""";12 августа 1995;Иран;70;170;https://www.sports.ru/mohammad-heibati/
Майкл Пейдж;7 апреля 1987;Великобритания;82;191;https://www.sports.ru/michael-page/
Александр Сарнавский;17 января 1989;Россия;70 кг;180 см;https://www.sports.ru/alexander-sarnavskiy/
Иржи Прохазка;14 октября 1992;Чехия;93;193;https://www.sports.ru/jiri-prochazka/
Дамир Исмагулов;3 февраля 1991;Казахстан Россия;70;178;https://www.sports.ru/damir-ismagulov/
Антонина Шевченко;20 ноября 1984;Кыргызстан;;;https://www.sports.ru/tags/161076443/
Райан Бейдер;7 июня 1983;США;95;188;https://www.sports.ru/ryan-bader/
Эдди Альварес;11 января 1984;США;70 кг;178 см;https://www.sports.ru/eddie-alvarez/
Чак Лидделл;17 декабря 1969;США;93;188;https://www.sports.ru/tags/5653162/
Пэдди Пимблетт;1 марта 1995;Англия;68;177;https://www.sports.ru/paddy-pimblett/
Логан Пол;1 апреля 1995;США;;188;https://www.sports.ru/logan-paul/
Кертис Блейдс;18 февраля 1991;;118;193;https://www.sports.ru/curtis-blaydes/
Маирис Бриедис;13 января 1985;Латвия;;;https://www.sports.ru/tags/161029841/
Сергей Бадюк;3 июля 1970;Россия;;;https://www.sports.ru/tags/161009939/
Джейк Пол;17 января 1997;США;;185;https://www.sports.ru/jake-paul/
Шахрам Гиясов;7 июля 1993;Узбекистан;;174;https://www.sports.ru/tags/161051436/
Мариф Пираев;3 января 1993;Россия;70;175;https://www.sports.ru/marif-piraev/
Джеральд Макклеллан;23 октября 1967;США;72;183;https://www.sports.ru/tags/69269308/
Крис Сайборг;9 июля 1985;Бразилия;65;172;https://www.sports.ru/cristiane-justino/
Эвандер Холифилд;19 октября 1962;США;;188;https://www.sports.ru/evander-holyfield/
